Date,Event name,Period
Submitted by INS on 09/15/2025,"Livestock on pigs on May 1, 2025",May 2025
Submitted by INS on 09/15/2025,Industrial production indices (IPI),July 2025
Submitted by INS on 09/17/2025,Turnover index in industry,July 2025
Submitted by INS on 09/17/2025,Value indices of industrial new orders,July 2025
Submitted by INS on 09/18/2025,Construction works,July 2025
Submitted by INS on 09/22/2025,"Livestock of cattle on June 1, 2025",June 2025
Submitted by INS on 09/24/2025,Turnover in trade and services provided to the population,July 2025
Submitted by INS on 09/24/2025,The turnover of the trade with motor vehicles and motorcycles,July 2025
Submitted by INS on 09/25/2025 - 1,Labour costs in year 2024,Year 2024
Submitted by INS on 09/26/2025,Turnover of market services rendered mainly to enterprises,July 2025
Submitted by INS on 09/26/2025,Wholesale turnover,July 2025
Submitted by INS on 09/29/2025,Trends in the evolution of economic activity,September - November 2025
Submitted by INS on 09/30/2025,Exploited wood volume in 2024,Year 2024
Submitted by INS on 09/30/2025,Construction permits released for buildings,August 2025
Submitted by INS on 09/30/2025,Water supply in 2024,Year 2024
Submitted by INS on 10/02/2025,ILO Unemployment,August 2025
Submitted by INS on 10/02/2025,Industrial production prices index (IPPI),August 2025
Submitted by INS on 10/06/2025,Turnover in retail trade,August 2025
Submitted by INS on 10/07/2025,Tourism,August 2025
Submitted by INS on 10/07/2025,Household income and expenditure,Second quarter 2025
Submitted by INS on 10/10/2025,Vital statistics,August 2025
Submitted by INS on 10/10/2025,Gross Domestic Product in 2024 (semifinale data),Year 2024
Submitted by INS on 10/10/2025,Gross domestic product in the second quarter 2025 (provisional data) (2),Second quarter 2025
Submitted by INS on 10/10/2025,Slaughtering of animals and poultry and meat production,August 2025
Submitted by INS on 10/10/2025,Gross Domestic Product in 2023 (finale data),Year 2023
Submitted by INS on 10/10/2025,Romania's foreign trade (estimated data),August 2025
Submitted by INS on 10/13/2025,Monthly average earning,august 2025
Submitted by INS on 10/13/2025,Consumer price index (CPI),September 2025
Submitted by INS on 10/14/2025,Energy resources (provisional data),"January 1 - August 31, 2025"
Submitted by INS on 10/15/2025,Value of agricultural production by development region in 2024 - final data,Year 2024
Submitted by INS on 10/15/2025,Industrial production indices (IPI),August 2025
Submitted by INS on 10/20/2025,Construction works,August 2025
Submitted by INS on 10/22/2025,Turnover in trade and services provided to the population,August 2025
Submitted by INS on 10/22/2025,The turnover of the trade with motor vehicles and motorcycles,August 2025
Submitted by INS on 10/23/2025,Turnover index in industry,August 2025
Submitted by INS on 10/23/2025,Value indices of industrial new orders,August 2025
Submitted by INS on 10/24/2025,Wholesale turnover,August 2025
Submitted by INS on 10/24/2025,Environmental protection expediture in 2024,Year 2024
Submitted by INS on 10/24/2025,"Tourist accomodation capacity at July 31, 2025","July 31, 2025"
Submitted by INS on 10/24/2025,Turnover of market services rendered mainly to enterprises,August 2025
Submitted by INS on 10/28/2025,Trends in the evolution of economic activity,October - December 2025
Submitted by INS on 10/28/2025,Permanent resident population of Romania on 1st of July 2025,"July 1, 2025"
Submitted by INS on 10/30/2025,ILO Unemployment,September 2025
Submitted by INS on 10/31/2025,"Air emissions accounts, in 2023",Year 2023
Submitted by INS on 10/31/2025,Construction permits released for buildings,September 2025
