ticker,company_name,sector,market_cap,pe_ratio,net_profit_ltm,next_earning_date,isin
CMIL,COMCEREAL SA BUCURESTI,,,,,,ROCMILACNOR9
CMVX,COMVEX SA CONSTANTA,,,,,,ROCMVXACNOR7
COBL,BRICOMAT SA SIBIU,,,,,,ROCOBLACNOR0
COBU,RENEWABLE HOLDING MANAGEMENT S.A. BUCURESTI,,,,,,ROCOBUACNOR1
COCB,COMCEREAL SA SLOBOZIA,,,,,,ROCOCBACNOR9
COCR,COCOR SA Bucuresti,,,,,,ROCOCRACNOR5
CODE,Softbinator Technologies,,,,,,RO1C3WJVLSM1
COEC,CONECT BUSINESS PARK SA BUCURESTI,,,,,,ROCOECACNOR3
COET,COMPLEX COMET SA BUCURESTI,,,,,,ROCOETACNOR7
COKG,COMALEX SA Alexandria,,,,,,ROCOKGACNOR1
COKJ,CONCIVIA SA BRAILA,,,,,,ROCOKJACNOR5
COLK,CONEX PRAHOVA SA BUCURESTI,,,,,,ROCOLKACNOR1
COMY,COMAT SA GIURGIU,,,,,,ROCOMYACNOR0
CONK,CONCAS SA BUZAU,,,,,,ROCONKACNOR7
CORO,CONSTRUCTII FEROVIARE SA GALATI,,,,,,ROCOROACNOR0
COTM,COMAT GALATI SA,,,,,,ROCOTMACNOR0
COTN,COMREP SA Ploiesti,,,,,,ROCOTNACNOR8
COUT,COMTURIST SA Bucuresti,,,,,,ROCOUTACNOR3
COVB,CONFECTII VASLUI SA Vaslui,,,,,,ROCOVBACNOR9
CPHA,CEPROHART SA BRAILA,,,,,,ROCPHAACNOR7
CPLB,CONSTRUCTII COMPLEXE SA BUZAU,,,,,,ROCPLBACNOR7
CRMC,CARMECO SA CONSTANTA,,,,,,ROCRMCACNOR9
CRPC,,,,,,,
CTT,,,,,,,
CTUL,COMCEREAL SA TULCEA,,,,,,ROCTULACNOR9
DAI,,,,,,,
DBK,,,,,,,
DENT,Dr. Fischer Dental,,,,,,ROWSA6535K63
DIAS,DIASFIN SA BUCURESTI,,,,,,RODIASACNOR7
DN,DN Agrar Group,,,,,,RO87WII43RS1
DOIS,DORNA TURISM SA VATRA DORNEI,,,,,,RODOISACNOR8
DPW,,,,,,,
DTE,,,,,,,
DTG,,,,,,,
DUPX,DUPLEX SA FAGARAS,,,,,,RODUPXACNOR0
EEAI,ELECTROCONSTRUCTIA ELCO ALBA IULIA SA,,,,,,ROEEAIACNOR5
ELCT,EL-CO SA TARGU SECUIESC,,,,,,ROELCTACNOR3
ELEL,ELECTROCONSTRUCTIA ELCO SA SUCEAVA,,,,,,ROELELACNOR6
ELER,ELEROM SA ROMAN,,,,,,ROELERACNOR3
ELJA,ELECTROMONTAJ CARPATI SA Sibiu,,,,,,ROELJAACNOR8
ELRD,ELECTRECORD SA BUCURESTI,,,,,,ROELRDACNOR5
ELV,ELVILA S.A. BUCURESTI,,,,,,ROELVIACNOR6
ELZY,ELECTROPRECIZIA SA Sacele,,,,,,ROELZYACNOR4
EMAI,EMAILUL SA MEDIAS,,,,,,ROEMAIACNOR8
EMTL,ELECTROMETAL SA TIMISOARA,,,,,,ROEMTLACNOR2
EOAN,,,,,,,
EPN,EMA PIATRA NEAMT S.A.,,,,,,ROEMANACNOR8
FACY,FABRICA DE SCULE RASNOV SA,,,,,,ROFACYACNOR3
FAMZ,FAM SA GALATI,,,,,,ROFAMZACNOR9
FEP,FEPER,,,,,,ROFEBVACNOR3
FERO,IAMBA ARAD S.A. ARAD,,,,,,ROFEROACNOR4
FIMA,FIMARO SA Cluj,,,,,,ROFIMAACNOR5
FLAO,FLAROS SA BUCURESTI,,,,,,ROFLAOACNOR5
FMAR,FAIMAR SA BAIA MARE,,,,,,ROFMARACNOR6
FOJE,FORAJ SONDE SA VIDELE,,,,,,ROFOJEACNOR1
FOMA,FORMA SA BOTOSANI,,,,,,ROFOMAACNOR3
FOSB,FORAJ SONDE SA CRAIOVA,,,,,,ROFORJACNOR3
FRB,FIREBYTE GAMES,,,,,,ROAYEN5H8FS2
GALF,GALFINBAND SA GALATI,,,,,,ROGALFACNOR1
GAOY,GASTRONOM SA BUZAU,,,,,,ROGAOYACNOR6
GDP,GRUPUL EDITORILOR SI DIFUZORILOR DE PRESA S.A.,,,,,,ROGDPSACNOR9
GGC,GLISSANDO GARDEN CENTER S.A.,,,,,,ROXR4OUPP8Q9
GHIM,A.T.C. - AGRO TOTAL CONSTRUCT SA GHIMBAV,,,,,,ROGHIMACNOR8
GRIU,GRIUL SA BUCURESTI,,,,,,ROGRIUACNOR0
GROB,GEROM SA BUZAU,,,,,,ROGROBACNOR8
GSH,Grup Serban Holding,,,,,,ROVKFFMHGUW6
HAI,Holde Agri Invest S.A. - Clasa A,,,,,,RO5RYSUM9FJ2
HEAL,HELIOS SA ASTILEU,,,,,,ROHEALACNOR2
HLEB,HERCULES SA BRAILA,,,,,,ROHLEBACNOR0
HUNT,IHUNT TECHNOLOGY IMPORT-EXPORT S.A.,,,,,,RODHRTKI5XP6
IAMU,IAMU SA BLAJ,,,,,,ROIAMUACNOR4
IANY,24 IANUARIE SA PLOIESTI,,,,,,ROIANYACNOR4
IASX,IASITEX SA IASI,,,,,,ROIASXACNOR5
ICEV,INSTITUTUL DE CERCETARI PENTRU ACOPERIRI AVANSATE ICAA SA BUCURESTI,,,,,,ROICEVACNOR5
ICMA,ICMA SA BUCURESTI,,,,,,ROICMAACNOR2
ICSH,ICSH SA HUNEDOARA,,,,,,ROICSHACNOR4
IMMO,IMMO GURU S.A.,,,,,,ROBN9PSSTX99
INCT,INCERTRANS SA BUCURESTI,,,,,,ROINCTACNOR0
INMA,INDUSTRIE MICA PRAHOVA SA,,,,,,ROINMAACNOR9
INOX,INOX SA MAGURELE,,,,,,ROINOXACNOR7
INSI,INDUSTRIA SARMEI CAMPIA TURZII SA,,,,,,ROINSIACNOR9
INTA,INDEPENDENTA SA SIBIU,,,,,,ROINTAACNOR4
IORB,IOR SA BUCURESTI,,,,,,ROIORBACNOR4
IPHI,IPROCHIM SA Bucuresti,,,,,,ROIPHIACNOR7
IPRO,IPROLAM SA BUCURESTI,,,,,,ROIPROACNOR4
IPRU,IPROEB SA Bistrita,,,,,,ROIPRUACNOR1
IUBR,IUS SA BRASOV,,,,,,ROIUBRACNOR1
JTG,JT GRUP OIL,,,,,,ROLD2ESK82G1
LCSI,LCS IMOBILIAR SA CLUJ NAPOCA,,,,,,ROLCSIACNOR6
LHA,,,,,,,
LIH,LIFE IS HARD S.A.,,,,,,ROLIHCACNOR9
LITO,LITORAL SA MAMAIA,,,,,,ROLITOACNOR9
MACO,MACOFIL SA TG. JIU,,,,,,ROMACOACNOR0
MALI,COMALIM SA ARAD,,,,,,ROMALIACNOR3
MAM,MAMBRICOLAJ S.A.,,,,,,ROGH6Z6S8RD8
MAMA,MAGAZIN UNIVERSAL MARAMURES SA BAIA MARE,,,,,,ROMAMAACNOR8
MEBY,LUCEAFARUL SA BACAU,,,,,,ROMEBYACNOR3
MECA,METALURGICA SA BUCURESTI,,,,,,ROMECAACNOR1
MECP,MECON SA BRASOV,,,,,,ROMECPACNOR9
MELE,METAL LEMN SA CRAIOVA,,,,,,ROMELEACNOR4
MEOR,METALICA SA ORADEA,,,,,,ROMEORACNOR0
MEOY,MECANICA CODLEA SA,,,,,,ROMEOYACNOR6
MESA,METALUL MESA SA SALONTA,,,,,,ROMESAACNOR7
MET,META ESTATE TRUST,,,,,,ROX9GQFJ81G8
METT,METTEXIN SA MANGALIA,,,,,,ROMETTACNOR5
METY,MECANICA ROTES SA Targoviste,,,,,,ROMETYACNOR5
MIB,Millenium Insurance Broker (MIB) Broker de Asigurare-Reasigurare,,,,,,ROV1FB29MU02
MILK,AGROSERV MARIUTA,,,,,,RO0V4UCPBC71
MINO,MINDO SA DOROHOI,,,,,,ROMINOACNOR0
MINX,MINEXFOR SA DEVA,,,,,,ROMINXACNOR1
MOBD,MOBAM SA BAIA MARE,,,,,,ROMOBDACNOR6
MOBE,MOBEST SA BUCURESTI,,,,,,ROMOBEACNOR4
MOBG,MOBEX SA TG.MURES,,,,,,ROMOBGACNOR9
MOBT,MOBILA SA RADAUTI,,,,,,ROMOBTACNOR2
MODY,MOLDOVA SA VASLUI,,,,,,ROMODYACNOR8
MOIB,MOARA CIBIN SA SIBIU,,,,,,ROMOIBACNOR5
MORA,MORARIT PANIFICATIE SA ROMAN,,,,,,ROMORAACNOR8
MRDO,MERCUR SA CRAIOVA,,,,,,ROMRDOACNOR2
NAXY,NAVEXIM SA GALATI,,,,,,RONAXYACNOR3
NCHI,SCALA DEVELOPMENT S.A. CLUJ-NAPOCA,,,,,,RONCHIACNOR5
NEOL,NEPTUN OLIMP SA NEPTUN,,,,,,RONEOLACNOR1
NORD,NORD SA BUCURESTI,,,,,,RONORDACNOR0
NRF,NOROFERT S.A.,,,,,,ROHQGW108MX2
NTEX,SIFI CJ STORAGE SA,,,,,,RONTEXACNOR5
NUIA,ABO MIX SA,,,,,,RONUIAACNOR2
OMAL,COMALIMENT RESITA SA,,,,,,ROOMALACNOR1
OMSE,COMAT CARAS SEVERIN SA RESITA,,,,,,ROOMSEACNOR8
PACY,PALACE SA SINAIA,,,,,,ROPACYACNOR2
PCTM,PRIMA CONSTRUCT SA TIMISOARA,,,,,,ROPCTMACNOR7
PELA,PERLA COVASNEI SA,,,,,,ROPELAACNOR5
PETY,PETAL SA HUSI,,,,,,ROPETYACNOR8
POBR,POIANA BRASOV SA BRASOV,,,,,,ROPOBRACNOR9
POTI,POTIS CAPITAL SA CLUJ-NAPOCA,,,,,,ROPOTIACNOR0
PPLI,PROFFESSIONAL IMO PARTNERS S.A.,,,,,,ROPPLIACNOR4
PRAE,PRODLACTA SA Brasov,,,,,,ROPRAEACNOR2
PRBU,PRACTIC SA Bucuresti,,,,,,ROPRBUACNOR6
PRDI,PRODHART SA IASI,,,,,,ROPRDIACNOR7
PRIB,PRIMCOM SA BUCURESTI,,,,,,ROPRIBACNOR1
PRIN,PROIECT COVASNA SA SFANTU GHEORGHE,,,,,,ROPRINACNOR6
PRSN,PROSPECTIUNI SA BUCURESTI,,,,,,ROPRSNACNOR5
PVBS,PERSEUS FINTECH SA,,,,,,ROPVBSACNOR2
RANT,GRANITUL SA BUCURESTI,,,,,,RORANTACNOR5
RCHI,GRAND HOTEL BUCHAREST S.A.,,,,,,ROCHIOACNOR3
REFE,REMARUL 16 FEBRUARIE SA CLUJ NAPOCA,,,,,,ROREFEACNOR5
REIT,Star Residence Invest,,,,,,RON95JJEDCB1
RELE,RELEE SA MEDIAS,,,,,,RORELEACNOR3
REMM,REMAT MARAMURES SA BAIA MARE,,,,,,ROREMMACNOR4
REVA,REVA SA SIMERIA,,,,,,ROREVAACNOR0
RKOT,RAIKO TRANSILVANIA,,,,,,RON9LAI37W24
ROOF,ROMANOFIR SA TALMACIU,,,,,,ROROOFACNOR3
RORX,ROMAERO SA BUCURESTI,,,,,,RORORXACNOR9
RRD,ROMRADIATOARE S.A.,,,,,,RORRDBACNOR8
SAP,,,,,,,
SATU,SATURN SA ALBA IULIA,,,,,,ROSATUACNOR8
SCBC,SCUT SA BACAU,,,,,,ROSCBCACNOR0
SCDM,UNIREA SHOPPING CENTER SA Bucuresti,,,,,,ROSCDMACNOR5
SEBZ,SEMBRAZ SA SIBIU,,,,,,ROSEBZACNOR7
SECE,SERVICE NEPTUN 2002 SA NEPTUN,,,,,,ROSECEACNOR0
SEOL,SEMROM OLTENIA SA,,,,,,ROSEOLACNOR0
SEOM,GERMINA AGRIBUSINESS SA BUCURESTI,,,,,,ROSEOMACNOR8
SERC,SERICO SA BUCURESTI,,,,,,ROSERCACNOR2
SEVE,SEVERNAV SA DR. TR. SEVERIN,,,,,,ROSEVEACNOR0
SIDG,ARCELORMITTAL HUNEDOARA SA,,,,,,ROSIDGACNOR4
SIEP,,,,,,,
SIEP,SINTER REF SA AZUGA,,,,,,ROSIEPACNOR3
SIFI,,,,,,,
SIGS,SIGSTRAT SA SIGHETU MARMATIEI,,,,,,ROSIGSACNOR2
SINA,SINATEX SA BUCURESTI,,,,,,ROSINAACNOR6
SINT,SINTOFARM SA BUCURESTI,,,,,,ROSINTACNOR6
SIRJ,SIRAJ AD IMPEX SA IASI,,,,,,ROSIRJACNOR8
SLBB,SUPORT LOGISTIC BUCURESTI SA,,,,,,ROSLBBACNOR3
SNC,SANTIERUL NAVAL CONSTANTA S.A.,,,,,,ROSANTACNOR3
SOMR,SOMETRA SA COPSA MICA,,,,,,ROSOMRACNOR0
SOPL,SOMPLAST SA NASAUD,,,,,,ROSOPLACNOR6
SOTA,SOMETA SA TASNAD,,,,,,ROSOTAACNOR1
SPTU,SPIT BUCOVINA SA SUCEAVA,,,,,,ROSPTUACNOR6
SPX,SIPEX COMPANY,,,,,,ROKK42RQ8EU3
STKP,STK PROPERTIES S.A.,,,,,,ROSDB8LKFR41
STNM,SANTIERUL NAVAL 2 MAI SA MANGALIA,,,,,,ROSTNMACNOR8
STOF,STOFE SA BUHUSI,,,,,,ROSTOFACNOR0
STOZ,STICLOVAL SA VALENII DE MUNTE,,,,,,ROSTOZACNOR8
TALD,TALC DOLOMITA SA HUNEDOARA,,,,,,ROTALDACNOR9
TERA,TERRA ESTIVAL 2002 SA NEPTUN,,,,,,ROTEREACNOR6
TIGH,TARNAVA SA SIGHISOARA,,,,,,ROTIGHACNOR3
TRCS,TRANSTEC SA TECUCI,,,,,,ROTRCSACNOR0
TRGI,TRANSPORTURI AUTO GIULESTI SA BUCURESTI,,,,,,ROTRGIACNOR2
TRNG,TRANSGEX SA ORADEA,,,,,,ROTRNGACNOR2
TRSB,TRANSCOM SA SIBIU,,,,,,ROTRSBACNOR2
TRSK,TRANSILANA SA GHIMBAV,,,,,,ROTRSKACNOR3
TRVM,TRANSCOM SA BUCURESTI,,,,,,ROTRVMACNOR3
TSLA,TRANSILVANIA LEASING SI CREDIT IFN SA BRASOV,,,,,,ROTSLAACNOR7
TSND,TUSNAD SA BAILE TUSNAD,,,,,,ROTSNDACNOR7
TUAA,TURISM COVASNA SA COVASNA,,,,,,ROTUAAACNOR6
UARG,ARGUS SA Constanta,,,,,,ROUARGACNOR7
UCET,CLABUCET ESTIVAL 2002 SA NEPTUN,,,,,,ROUCETACNOR4
UNIR,UNIREA SA CLUJ NAPOCA,,,,,,ROUNIRACNOR6
UNISEM,UNISEM SA BUCURESTI,,,,,,ROUNIEACNOR4
UNVR,UNIVERS SA Rm. Valcea,,,,,,ROUNVRACNOR9
UPET,UPET SA TARGOVISTE,,,,,,ROUPETACNOR6
UPRR,UPRUC CTR SA FAGARAS,,,,,,ROUPRRACNOR2
URBA,URBANA SA BISTRITA,,,,,,ROURBAACNOR8
URCB,URC SA VASCAU,,,,,,ROURCBACNOR4
UTGR,UTILAJ GREU SA MURFATLAR,,,,,,ROUTGRACNOR7
UZC,UZUC S.A.,,,,,,ROUZUCACNOR7
UZIN,UZINEXPORT SA BUCURESTI,,,,,,ROUZINACNOR9
VAC,PRODVINALCO S.A.,,,,,,ROPROCACNOR7
VIAG,VINALCOOL ARGES SA PITESTI,,,,,,ROVIAGACNOR4
VIRO,VIROLA - INDEPENDENTA SA SIBIU,,,,,,ROVIROACNOR2
VITK,VITIMAS SA TECUCI,,,,,,ROVITKACNOR6
